Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,8.380000,8.540000,8.160000,8.260000,8.260000,278800
2017-04-19,8.250000,8.300000,8.090000,8.130000,8.130000,33700
2017-04-20,8.160000,8.260000,7.770000,8.110000,8.110000,92500
2017-04-24,8.150000,8.210000,8.000000,8.160000,8.160000,82200
2017-04-25,8.230000,8.250000,8.110000,8.220000,8.220000,27400
2017-04-26,8.240000,8.450000,8.230000,8.240000,8.240000,170700
2017-04-27,8.330000,8.370000,8.030000,8.210000,8.210000,54200
2017-04-28,8.230000,8.400000,8.230000,8.350000,8.350000,555300
2017-05-02,8.420000,8.590000,8.260000,8.390000,8.390000,581500
2017-05-03,8.400000,8.420000,8.150000,8.150000,8.150000,80900
2017-05-04,8.160000,8.170000,7.540000,7.770000,7.770000,791900
2017-05-05,7.770000,7.770000,7.400000,7.540000,7.540000,2095400
2017-05-08,7.540000,7.990000,7.350000,7.880000,7.880000,403700
2017-05-09,8.050000,8.200000,8.000000,8.070000,8.070000,320600
2017-05-10,8.200000,8.200000,7.900000,8.130000,8.130000,1483700
2017-05-11,8.130000,8.240000,8.020000,8.230000,8.230000,704600
2017-05-12,8.350000,8.410000,7.920000,8.000000,8.000000,3106800
2017-05-15,8.010000,8.100000,7.770000,8.000000,8.000000,483900
2017-05-16,7.980000,8.070000,7.900000,7.960000,7.960000,448500
2017-05-17,7.950000,8.000000,7.810000,7.950000,7.950000,105500
2017-05-18,6.890000,6.980000,6.450000,6.650000,6.650000,484400
2017-05-19,6.780000,6.950000,6.670000,6.680000,6.680000,247600
2017-05-22,6.700000,6.790000,6.310000,6.470000,6.470000,892200
2017-05-23,6.500000,6.710000,6.440000,6.520000,6.520000,211900
2017-05-24,6.550000,6.780000,6.550000,6.640000,6.640000,212000
2017-05-25,6.700000,6.840000,6.660000,6.800000,6.800000,236300
2017-05-26,6.800000,6.990000,6.590000,6.650000,6.650000,218900
2017-05-29,6.650000,6.650000,6.650000,6.650000,6.650000,0
2017-05-30,6.700000,6.700000,6.430000,6.700000,6.700000,168200
2017-05-31,6.690000,6.780000,6.440000,6.530000,6.530000,201100
2017-06-01,6.540000,6.670000,6.350000,6.460000,6.460000,274500
2017-06-02,6.500000,6.600000,6.360000,6.550000,6.550000,93200
2017-06-05,6.470000,6.560000,6.370000,6.560000,6.560000,83500
2017-06-06,6.600000,6.610000,6.390000,6.390000,6.390000,159300
2017-06-07,6.490000,6.600000,6.430000,6.520000,6.520000,71100
2017-06-08,6.520000,6.620000,6.410000,6.580000,6.580000,31700
2017-06-09,6.570000,6.570000,6.460000,6.500000,6.500000,273600
2017-06-12,6.530000,6.570000,6.390000,6.420000,6.420000,61900
2017-06-13,6.490000,6.490000,6.360000,6.430000,6.430000,73100
2017-06-14,6.450000,6.490000,6.250000,6.300000,6.300000,93800
2017-06-15,6.300000,6.300000,6.300000,6.300000,6.300000,0
2017-06-16,6.330000,6.330000,5.950000,5.950000,5.950000,334400
2017-06-19,5.960000,6.060000,5.790000,5.890000,5.890000,295400
2017-06-20,5.880000,5.880000,5.720000,5.750000,5.750000,108100
2017-06-21,5.830000,5.850000,5.590000,5.640000,5.640000,130400
2017-06-22,5.670000,5.810000,5.580000,5.640000,5.640000,174200
2017-06-23,5.640000,5.730000,5.450000,5.450000,5.450000,3111600
2017-06-26,5.420000,5.600000,5.320000,5.500000,5.500000,265400
2017-06-27,5.500000,5.530000,5.350000,5.350000,5.350000,221500
2017-06-28,5.390000,5.410000,5.110000,5.120000,5.120000,619900
2017-06-29,5.150000,5.230000,5.050000,5.100000,5.100000,234000
2017-06-30,5.150000,5.310000,5.130000,5.130000,5.130000,533900
2017-07-03,5.200000,5.610000,5.200000,5.430000,5.430000,736300
2017-07-04,5.540000,5.550000,5.460000,5.490000,5.490000,241800
2017-07-05,5.540000,5.640000,5.530000,5.630000,5.630000,255100
2017-07-06,5.630000,5.630000,5.260000,5.260000,5.260000,542900
2017-07-07,5.280000,5.400000,5.090000,5.210000,5.210000,472600
2017-07-10,5.240000,5.290000,5.130000,5.280000,5.280000,280200
2017-07-11,5.300000,5.390000,5.230000,5.350000,5.350000,265900
2017-07-12,5.370000,5.510000,5.370000,5.500000,5.500000,383700
2017-07-13,5.550000,5.770000,5.530000,5.700000,5.700000,635600
2017-07-14,5.750000,5.900000,5.750000,5.850000,5.850000,544200
2017-07-17,5.860000,5.920000,5.610000,5.640000,5.640000,483500
2017-07-18,5.680000,5.980000,5.650000,5.900000,5.900000,1130400
2017-07-19,6.000000,6.070000,5.710000,5.750000,5.750000,1155900
2017-07-20,5.810000,5.850000,5.710000,5.780000,5.780000,277000
2017-07-21,5.800000,5.880000,5.670000,5.750000,5.750000,393100
2017-07-24,5.870000,5.990000,5.820000,5.890000,5.890000,746800
2017-07-25,6.000000,6.050000,5.910000,5.980000,5.980000,477700
2017-07-26,6.050000,6.090000,5.740000,5.800000,5.800000,715700
2017-07-27,5.880000,5.920000,5.750000,5.920000,5.920000,372200
2017-07-28,5.950000,5.950000,5.850000,5.900000,5.900000,370500
2017-07-31,5.930000,5.950000,5.830000,5.900000,5.900000,226500
2017-08-01,5.920000,5.920000,5.760000,5.780000,5.780000,379900
2017-08-02,5.780000,5.900000,5.780000,5.850000,5.850000,462600
2017-08-03,5.850000,5.950000,5.800000,5.930000,5.930000,404700
